Setpoint, C:;500

Time, sec;Temperature 1, C;Temperature 2, C;Relay 1;Relay 2
1;407.5;124.9;0;0
2;407.5;124.9;0;0
3;407.4;124.9;0;0
4;407.3;124.9;0;0
5;407.3;124.9;0;0
6;407.3;124.9;0;0
7;407.2;124.9;0;0
8;407.2;124.9;0;0
9;407.1;124.9;1;1
10;407.1;124.9;1;1
11;407.1;124.9;1;1
12;407.1;124.9;1;1
13;407.1;124.9;1;1
14;407.1;124.9;1;1
15;407.1;124.9;1;1
16;407.1;124.9;1;1
17;407.2;124.9;1;1
18;407.3;124.9;1;1
19;407.4;124.9;1;1
20;407.6;124.9;1;1
21;407.7;124.9;1;1
22;407.8;124.9;1;1
23;408;124.9;1;1
24;408.2;124.9;1;1
25;408.4;124.9;1;1
26;408.6;124.9;1;1
27;408.8;124.9;1;1
28;409.1;124.9;1;1
29;409.2;124.9;1;1
30;409.5;124.9;1;1
31;409.8;124.9;1;1
32;410;124.9;1;1
33;410.3;124.9;1;1
34;410.6;124.9;1;1
35;410.9;124.9;1;1
36;411.2;124.9;1;1
37;411.4;124.9;1;1
38;411.7;124.9;1;1
39;412.1;124.9;1;1
40;412.4;124.9;1;1
41;412.6;124.9;1;1
42;413;124.9;1;1
43;413.3;124.9;1;1
44;413.6;124.9;1;1
45;414;124.9;1;1
46;414.3;124.9;1;1
47;414.7;124.9;1;1
48;415;124.9;1;1
49;415.4;124.9;1;1
50;415.7;124.9;1;1
51;416.1;124.9;1;1
52;416.4;124.9;1;1
53;416.8;124.9;1;1
54;417.1;124.9;1;1
55;417.6;124.9;1;1
56;417.9;124.9;1;1
57;418.2;124.9;1;1
58;418.6;124.9;1;1
59;419;124.9;1;1
60;419.4;124.9;1;1
61;419.8;124.9;1;1
62;420.2;124.9;1;1
63;420.5;124.9;1;1
64;421;124.9;1;1
65;421.3;124.9;1;1
66;421.7;124.9;1;1
67;422.1;124.9;1;1
68;422.5;124.9;1;1
69;422.9;124.9;1;1
70;423.2;124.9;1;1
71;423.7;124.9;1;1
72;424.1;124.9;1;1
73;424.5;124.9;1;1
74;424.9;124.9;1;1
75;425.4;124.9;1;1
76;425.8;124.9;1;1
77;426.2;124.9;1;1
78;426.7;124.9;1;1
79;427;124.9;1;1
80;427.4;124.9;1;1
81;427.8;124.9;1;1
82;428.3;124.9;1;1
83;428.7;124.9;1;1
84;429.1;124.9;1;1
85;429.5;124.9;1;1
86;430;124.9;1;1
87;430.5;124.9;1;1
88;430.9;124.9;1;1
89;431.3;124.9;1;1
90;431.8;124.9;1;1
91;432.2;124.9;1;1
92;432.7;124.9;1;1
93;433.1;124.9;1;1
94;433.6;124.9;1;1
95;434;124.9;1;1
96;434.5;124.9;1;1
97;434.9;124.9;1;1
98;435.3;124.9;1;1
99;435.8;124.9;1;1
100;436.2;124.9;1;1
101;436.7;124.9;1;1
102;437.1;124.9;1;1
103;437.6;124.9;1;1
104;438.1;124.9;1;1
105;438.5;124.9;1;1
106;438.9;124.9;1;1
107;439.4;124.9;1;1
108;439.9;124.9;1;1
109;440.3;124.9;1;1
110;440.8;124.9;1;1
111;441.3;124.9;1;1
112;441.8;124.9;1;1
113;442.2;124.9;1;1
114;442.7;124.9;1;1
115;443.1;124.9;1;1
116;443.5;124.9;1;1
117;444.1;124.9;1;1
118;444.5;124.9;1;1
119;445.1;124.9;1;1
120;445.5;124.9;1;1
121;446;124.9;1;1
122;446.4;124.9;1;1
123;446.9;124.9;1;1
124;447.4;124.9;1;1
125;447.8;124.9;1;1
126;448.3;124.9;1;1
127;448.8;124.9;1;1
128;449.3;124.9;1;1
129;449.8;124.9;1;1
130;450.3;124.9;1;1
131;450.7;124.9;1;1
132;451.2;124.9;1;1
133;451.7;124.9;1;1
134;452.2;124.9;1;1
135;452.7;124.9;1;1
136;453.2;124.9;1;1
137;453.6;124.9;1;1
138;454.1;124.9;1;1
139;454.6;124.9;1;1
140;455.1;124.9;1;1
141;455.6;124.9;1;1
142;456.1;124.9;1;1
143;456.6;124.9;1;1
144;457.1;124.9;1;1
145;457.6;124.9;1;1
146;458.1;124.9;1;1
147;458.6;124.9;1;1
148;459.1;124.9;1;1
149;459.5;124.9;1;1
150;460;124.9;1;1
151;460.6;124.9;1;1
152;461.1;124.9;0;0
153;461.5;124.9;1;1
154;462;124.9;1;1
155;462.6;124.9;1;1
156;463;124.9;1;1
157;463.5;124.9;1;1
158;464;124.9;0;0
159;464.5;124.9;1;1
160;465;124.9;1;1
161;465.4;124.9;1;1
162;465.9;124.9;1;1
163;466.4;124.9;1;1
164;466.8;124.9;0;0
165;467.3;124.9;1;1
166;467.7;124.9;1;1
167;468.3;124.9;1;1
168;468.7;124.9;1;1
169;469.1;124.9;1;1
170;469.6;124.9;0;0
171;470;124.9;0;0
172;470.5;124.9;1;1
173;470.9;124.9;1;1
174;471.4;124.9;1;1
175;471.8;124.9;1;1
176;472.2;124.9;0;0
177;472.6;124.9;0;0
178;473;124.9;1;1
179;473.5;124.9;1;1
180;473.9;124.9;1;1
181;474.3;124.9;1;1
182;474.8;124.9;0;0
183;475.2;124.9;0;0
184;475.6;124.9;0;0
185;476;124.9;1;1
186;476.4;124.9;1;1
187;476.7;124.9;1;1
188;477.2;124.9;0;0
189;477.5;124.9;0;0
190;477.9;124.9;0;0
191;478.2;124.9;1;1
192;478.6;124.9;1;1
193;478.9;124.9;1;1
194;479.3;124.9;0;0
195;479.6;124.9;0;0
196;480.1;124.9;0;0
197;480.3;124.9;0;0
198;480.7;124.9;1;1
199;481;124.9;1;1
200;481.3;124.9;0;0
201;481.7;124.9;0;0
202;481.9;124.9;0;0
203;482.3;124.9;0;0
204;482.6;124.9;1;1
205;482.8;124.9;1;1
206;483.1;124.9;0;0
207;483.4;124.9;0;0
208;483.7;124.9;0;0
209;483.9;124.9;0;0
210;484.3;124.9;1;1
211;484.5;124.9;1;1
212;484.7;124.9;0;0
213;485;124.9;0;0
214;485.2;124.9;0;0
215;485.5;124.9;0;0
216;485.7;124.9;0;0
217;486;124.9;1;1
218;486.2;124.9;0;0
219;486.5;124.9;0;0
220;486.6;124.9;0;0
221;486.9;124.9;0;0
222;487.1;124.9;0;0
223;487.3;124.9;1;1
224;487.5;124.9;0;0
225;487.7;124.9;0;0
226;487.9;124.9;0;0
227;488.1;124.9;0;0
228;488.3;124.9;0;0
229;488.4;124.9;1;1
230;488.7;124.9;1;1
231;488.8;124.9;0;0
232;488.9;124.9;0;0
233;489.2;124.9;0;0
234;489.4;124.9;0;0
235;489.5;124.9;0;0
236;489.7;124.9;1;1
237;489.8;124.9;0;0
238;490;124.9;0;0
239;490.1;124.9;0;0
240;490.3;124.9;0;0
241;490.6;124.9;0;0
242;490.7;124.9;1;1
243;490.8;124.9;0;0
244;490.9;124.9;0;0
245;491.2;124.9;0;0
246;491.3;124.9;0;0
247;491.4;124.9;0;0
248;491.5;124.9;1;1
249;491.6;124.9;1;1
250;491.8;124.9;0;0
251;491.9;124.9;0;0
252;492.1;124.9;0;0
253;492.3;124.9;0;0
254;492.5;124.9;0;0
255;492.6;124.9;1;1
256;492.7;124.9;0;0
257;492.8;124.9;0;0
258;493;124.9;0;0
259;493.1;124.9;0;0
260;493.2;124.9;0;0
261;493.4;124.9;1;1
262;493.5;124.9;0;0
263;493.6;124.9;0;0
264;493.7;124.9;0;0
265;493.9;124.9;0;0
266;494;124.9;0;0
267;494.1;124.9;1;1
268;494.2;124.9;0;0
269;494.4;124.9;0;0
270;494.5;124.9;0;0
271;494.6;124.9;0;0
272;494.7;124.9;0;0
273;494.8;124.9;0;0
274;494.9;124.9;0;0
275;495;124.9;0;0
276;495.1;124.9;0;0
277;495.2;124.9;0;0
278;495.3;124.9;0;0
279;495.4;124.9;0;0
280;495.4;124.9;0;0
281;495.5;124.9;0;0
282;495.5;124.9;0;0
283;495.5;124.9;0;0
284;495.7;124.9;0;0
285;495.8;124.9;0;0
286;495.8;124.9;1;1
287;495.9;124.9;0;0
288;495.9;124.9;0;0
289;496;124.9;0;0
290;496;124.9;0;0
291;496.1;124.9;0;0
292;496.1;124.9;1;1
293;496.2;124.9;0;0
294;496.2;124.9;0;0
295;496.4;124.9;0;0
296;496.4;124.9;0;0
297;496.5;124.9;0;0
298;496.6;124.9;0;0
299;496.6;124.9;1;1
300;496.6;124.9;0;0
301;496.7;124.9;0;0
302;496.8;124.9;0;0
303;496.9;124.9;0;0
304;496.9;124.9;0;0
305;497;124.9;0;0
306;497.1;124.9;0;0
307;497.1;124.9;0;0
308;497.1;124.9;0;0
309;497.1;124.9;0;0
310;497.3;124.9;0;0
311;497.3;124.9;0;0
312;497.3;124.9;0;0
313;497.3;124.9;0;0
314;497.3;124.9;0;0
315;497.4;124.9;0;0
316;497.4;124.9;0;0
317;497.4;124.9;0;0
318;497.4;124.9;0;0
319;497.4;124.9;0;0
320;497.5;124.9;0;0
321;497.4;124.9;0;0
322;497.5;124.9;0;0
323;497.5;124.9;0;0
324;497.5;124.9;0;0
325;497.5;124.9;0;0
326;497.5;124.9;0;0
327;497.5;124.9;0;0
328;497.5;124.9;0;0
329;497.5;124.9;0;0
330;497.5;124.9;0;0
331;497.5;124.9;1;1
332;497.4;124.9;0;0
333;497.5;124.9;0;0
334;497.4;124.9;0;0
335;497.4;124.9;0;0
336;497.4;124.9;0;0
337;497.4;124.9;0;0
338;497.4;124.9;0;0
339;497.5;124.9;0;0
340;497.5;124.9;0;0
341;497.5;124.9;0;0
342;497.5;124.9;0;0
343;497.5;124.9;0;0
344;497.5;124.9;0;0
345;497.6;124.9;0;0
346;497.5;124.9;0;0
347;497.5;124.9;0;0
348;497.5;124.9;0;0
349;497.5;124.9;0;0
350;497.4;124.9;1;1
351;497.5;124.9;0;0
352;497.4;124.9;0;0
353;497.3;124.9;0;0
354;497.4;124.9;0;0
355;497.4;124.9;0;0
356;497.4;124.9;0;0
357;497.4;124.9;0;0
358;497.4;124.9;0;0
359;497.4;124.9;0;0
360;497.4;124.9;0;0
361;497.4;124.9;0;0
362;497.4;124.9;0;0
363;497.4;124.9;0;0
364;497.4;124.9;0;0
365;497.4;124.9;0;0
366;497.3;124.9;0;0
367;497.2;124.9;0;0
368;497.2;124.9;0;0
369;497.2;124.9;0;0
370;497.2;124.9;0;0
371;497.2;124.9;0;0
372;497.2;124.9;0;0
373;497.2;124.9;0;0
374;497.1;124.9;0;0
375;497.1;124.9;0;0
376;497;124.9;0;0
377;497;124.9;0;0
378;497;124.9;0;0
379;497;124.9;0;0
380;496.9;124.9;0;0
381;496.9;124.9;0;0
382;496.9;124.9;1;1
383;496.8;124.9;0;0
384;496.8;124.9;0;0
385;496.7;124.9;0;0
386;496.7;124.9;0;0
387;496.7;124.9;0;0
388;496.7;124.9;0;0
389;496.7;124.9;0;0
390;496.6;124.9;0;0
391;496.6;124.9;0;0
392;496.6;124.9;0;0
393;496.5;124.9;0;0
394;496.5;124.9;0;0
395;496.5;124.9;1;1
396;496.5;124.9;0;0
397;496.4;124.9;0;0
398;496.5;124.9;0;0
399;496.4;124.9;0;0
400;496.4;124.9;0;0
401;496.4;124.9;1;1
402;496.4;124.9;0;0
403;496.4;124.9;0;0
404;496.3;124.9;0;0
405;496.3;124.9;0;0
406;496.3;124.9;0;0
407;496.3;124.9;0;0
408;496.3;124.9;0;0
409;496.3;124.9;0;0
410;496.3;124.9;0;0
411;496.3;124.9;0;0
412;496.2;124.9;0;0
413;496.2;124.9;1;1
414;496.2;124.9;0;0
415;496.1;124.9;0;0
416;496.2;124.9;0;0
417;496.1;124.9;0;0
418;496.1;124.9;0;0
419;496.1;124.9;1;1
420;496;124.9;0;0
421;496.1;124.9;0;0
422;496;124.9;0;0
423;496.1;124.9;0;0
424;496;124.9;0;0
425;496;124.9;0;0
426;496;124.9;0;0
427;496;124.9;0;0
428;496;124.9;0;0
429;496;124.9;0;0
430;495.9;124.9;0;0
431;495.9;124.9;0;0
432;495.9;124.9;1;1
433;495.9;124.9;0;0
434;495.9;124.9;0;0
435;495.8;124.9;0;0
436;495.8;124.9;0;0
437;495.7;124.9;0;0
438;495.8;124.9;1;1
439;495.7;124.9;0;0
440;495.7;124.9;0;0
441;495.8;124.9;0;0
442;495.7;124.9;0;0
443;495.7;124.9;0;0
444;495.7;124.9;0;0
445;495.7;124.9;0;0
446;495.7;124.9;0;0
447;495.6;124.9;0;0
448;495.7;124.9;0;0
449;495.6;124.9;0;0
450;495.6;124.9;0;0
451;495.6;124.9;1;1
452;495.5;124.9;0;0
