Setpoint, C:;350

Time, sec;Temperature 1, C;Temperature 2, C;Relay 1;Relay 2
1;281.1;124.9;0;0
2;281.2;124.9;0;0
3;281.1;124.9;0;0
4;281.2;124.9;0;0
5;281.2;124.9;0;0
6;281.2;124.9;0;0
7;281.2;124.9;0;0
8;281.2;124.9;1;1
9;281.3;124.9;1;1
10;281.2;124.9;1;1
11;281.2;124.9;1;1
12;281.3;124.9;1;1
13;281.3;124.9;1;1
14;281.3;124.9;1;1
15;281.4;124.9;1;1
16;281.4;124.9;1;1
17;281.6;124.9;1;1
18;281.7;124.9;1;1
19;281.8;124.9;1;1
20;282;124.9;1;1
21;282.1;124.9;1;1
22;282.3;124.9;1;1
23;282.4;124.9;1;1
24;282.7;124.9;1;1
25;282.9;124.9;1;1
26;283.1;124.9;1;1
27;283.4;124.9;1;1
28;283.6;124.9;1;1
29;283.8;124.9;1;1
30;284.1;124.9;1;1
31;284.3;124.9;1;1
32;284.6;124.9;1;1
33;284.9;124.9;1;1
34;285.1;124.9;1;1
35;285.4;124.9;1;1
36;285.8;124.9;1;1
37;286;124.9;1;1
38;286.3;124.9;1;1
39;286.6;124.9;1;1
40;286.9;124.9;1;1
41;287.3;124.9;1;1
42;287.6;124.9;1;1
43;287.9;124.9;1;1
44;288.2;124.9;1;1
45;288.5;124.9;1;1
46;288.9;124.9;1;1
47;289.2;124.9;1;1
48;289.6;124.9;1;1
49;289.9;124.9;1;1
50;290.2;124.9;1;1
51;290.5;124.9;1;1
52;290.9;124.9;1;1
53;291.3;124.9;1;1
54;291.6;124.9;1;1
55;292;124.9;1;1
56;292.4;124.9;1;1
57;292.6;124.9;1;1
58;293.1;124.9;1;1
59;293.4;124.9;1;1
60;293.8;124.9;1;1
61;294.1;124.9;1;1
62;294.5;124.9;1;1
63;294.8;124.9;1;1
64;295.2;124.9;1;1
65;295.7;124.9;1;1
66;296.1;124.9;1;1
67;296.4;124.9;1;1
68;296.8;124.9;1;1
69;297.2;124.9;1;1
70;297.6;124.9;1;1
71;298;124.9;1;1
72;298.3;124.9;1;1
73;298.9;124.9;1;1
74;299.2;124.9;1;1
75;299.6;124.9;1;1
76;299.9;124.9;1;1
77;300.4;124.9;1;1
78;300.8;124.9;1;1
79;301.2;124.9;1;1
80;301.6;124.9;1;1
81;301.9;124.9;1;1
82;302.4;124.9;1;1
83;302.8;124.9;1;1
84;303.2;124.9;1;1
85;303.6;124.9;1;1
86;304;124.9;1;1
87;304.5;124.9;1;1
88;304.9;124.9;1;1
89;305.3;124.9;1;1
90;305.7;124.9;1;1
91;306.1;124.9;1;1
92;306.5;124.9;1;1
93;307;124.9;1;1
94;307.3;124.9;1;1
95;307.8;124.9;1;1
96;308.3;124.9;1;1
97;308.7;124.9;1;1
98;309;124.9;1;1
99;309.4;124.9;1;1
100;309.9;124.9;1;1
101;310.4;124.9;1;1
102;310.8;124.9;1;1
103;311.2;124.9;1;1
104;311.7;124.9;1;1
105;312.1;124.9;1;1
106;312.6;124.9;1;1
107;313;124.9;1;1
108;313.4;124.9;1;1
109;313.9;124.9;1;1
110;314.3;124.9;1;1
111;314.8;124.9;1;1
112;315.2;124.9;1;1
113;315.6;124.9;1;1
114;316.2;124.9;1;1
115;316.6;124.9;1;1
116;317;124.9;1;1
117;317.5;124.9;1;1
118;317.9;124.9;1;1
119;318.3;124.9;1;1
120;319.4;124.9;1;1
121;319.4;124.9;1;1
122;319.8;124.9;1;1
123;320.3;124.9;1;1
124;320.7;124.9;1;1
125;321.2;124.9;1;1
126;322.1;124.9;1;1
127;322.6;124.9;0;0
128;323;124.9;1;1
129;323.5;124.9;1;1
130;324;124.9;1;1
131;324.3;124.9;1;1
132;324.9;124.9;1;1
133;325.3;124.9;0;0
134;325.7;124.9;1;1
135;326.2;124.9;1;1
136;326.6;124.9;1;1
137;327.1;124.9;1;1
138;327.5;124.9;1;1
139;327.9;124.9;0;0
140;328.4;124.9;0;0
141;328.8;124.9;1;1
142;329.3;124.9;1;1
143;329.6;124.9;1;1
144;330.1;124.9;0;0
145;330.6;124.9;0;0
146;331;124.9;0;0
147;331.3;124.9;1;1
148;331.7;124.9;1;1
149;332;124.9;1;1
150;332.5;124.9;0;0
151;332.9;124.9;0;0
152;333.2;124.9;0;0
153;333.6;124.9;1;1
154;333.9;124.9;1;1
155;334.2;124.9;1;1
156;334.6;124.9;0;0
157;334.9;124.9;0;0
158;335.3;124.9;0;0
159;335.6;124.9;0;0
160;336;124.9;1;1
161;336.3;124.9;1;1
162;336.5;124.9;0;0
163;336.9;124.9;0;0
164;337.2;124.9;0;0
165;337.6;124.9;0;0
166;337.8;124.9;1;1
167;338.1;124.9;1;1
168;338.4;124.9;0;0
169;338.7;124.9;0;0
170;339;124.9;0;0
171;339.2;124.9;0;0
172;339.5;124.9;1;1
173;339.8;124.9;1;1
174;340.1;124.9;0;0
175;340.4;124.9;0;0
176;340.6;124.9;0;0
177;340.8;124.9;0;0
178;341.2;124.9;1;1
179;341.4;124.9;1;1
180;341.6;124.9;0;0
181;341.9;124.9;0;0
182;342.1;124.9;0;0
183;342.4;124.9;0;0
184;342.6;124.9;0;0
185;342.8;124.9;1;1
186;343.1;124.9;0;0
187;343.4;124.9;0;0
188;343.5;124.9;0;0
189;343.8;124.9;0;0
190;343.9;124.9;0;0
191;344.2;124.9;1;1
192;344.4;124.9;0;0
193;344.6;124.9;0;0
194;344.8;124.9;0;0
195;345;124.9;0;0
196;345.2;124.9;0;0
197;345.4;124.9;1;1
198;345.6;124.9;0;0
199;345.8;124.9;0;0
200;346;124.9;0;0
201;346.2;124.9;0;0
202;346.3;124.9;0;0
203;346.5;124.9;0;0
204;346.6;124.9;0;0
205;346.9;124.9;0;0
206;347.1;124.9;0;0
207;347.1;124.9;0;0
208;347.3;124.9;0;0
209;347.4;124.9;1;1
210;347.6;124.9;1;1
211;347.8;124.9;0;0
212;347.9;124.9;0;0
213;348;124.9;0;0
214;348.1;124.9;0;0
215;348.4;124.9;1;1
216;348.4;124.9;0;0
217;348.6;124.9;0;0
218;348.8;124.9;0;0
