Time, sec;Temperature 1, C;Temperature 2, C;Set point, C;Relay 1;Relay 2
0;348.7;124.9;360;0;0
1;348.6;124.9;360;0;0
2;348.6;124.9;360;0;0
3;348.5;124.9;360;0;0
4;348.5;124.9;360;0;0
5;348.5;124.9;360;0;0
6;348.5;124.9;360;0;0
7;348.5;124.9;360;1;0
8;348.4;124.9;360;1;1
9;348.3;124.9;360;1;1
10;348.3;124.9;360;0;1
11;348.3;124.9;360;0;0
12;348.2;124.9;360;0;0
13;348.3;124.9;360;0;0
14;348.3;124.9;360;1;0
15;348.3;124.9;360;1;1
16;348.3;124.9;360;0;1
17;348.3;124.9;360;0;0
18;348.4;124.9;360;0;0
19;348.4;124.9;360;0;0
20;348.5;124.9;360;1;0
21;348.5;124.9;360;1;1
22;348.6;124.9;360;0;1
23;348.6;124.9;360;0;0
24;348.7;124.9;360;0;0
25;348.7;124.9;360;0;0
26;348.8;124.9;360;1;0
27;348.8;124.9;360;1;1
28;348.9;124.9;360;1;1
29;349;124.9;360;0;1
30;349.1;124.9;360;0;0
31;349.1;124.9;360;0;0
32;349.1;124.9;360;0;0
33;349.3;124.9;360;1;0
34;349.4;124.9;360;1;1
35;349.5;124.9;360;0;1
36;349.5;124.9;360;0;0
37;349.7;124.9;360;0;0
38;349.8;124.9;360;0;0
39;349.9;124.9;360;1;0
40;349.9;124.9;360;1;1
41;350;124.9;360;0;1
42;350.2;124.9;360;0;0
43;350.2;124.9;360;0;0
44;350.3;124.9;360;0;0
45;350.4;124.9;360;1;0
46;350.5;124.9;360;1;1
47;350.6;124.9;360;0;1
48;350.7;124.9;360;0;0
49;350.8;124.9;360;0;0
50;350.9;124.9;360;0;0
51;351;124.9;360;1;0
52;351.1;124.9;360;1;1
53;351.2;124.9;360;0;1
54;351.3;124.9;360;0;0
55;351.4;124.9;360;0;0
56;351.5;124.9;360;0;0
57;351.6;124.9;360;0;0
58;351.6;124.9;360;1;0
59;351.8;124.9;360;1;1
60;351.9;124.9;360;0;1
61;352;124.9;360;0;0
62;352;124.9;360;0;0
63;352.2;124.9;360;0;0
64;352.2;124.9;360;1;0
65;352.3;124.9;360;1;1
66;352.5;124.9;360;0;1
67;352.5;124.9;360;0;1
68;352.6;124.9;360;0;0
69;352.7;124.9;360;0;0
70;352.8;124.9;360;0;0
71;352.9;124.9;360;1;0
72;353;124.9;360;0;0
73;353.1;124.9;360;0;1
74;353.3;124.9;360;0;0
75;353.4;124.9;360;0;0
76;353.5;124.9;360;0;0
77;353.5;124.9;360;0;0
78;353.6;124.9;360;0;0
79;353.6;124.9;360;0;0
80;353.7;124.9;360;0;0
81;353.8;124.9;360;0;0
82;353.9;124.9;360;0;0
83;354;124.9;360;0;0
84;354;124.9;360;0;0
85;354.2;124.9;360;0;0
86;354.2;124.9;360;0;0
87;354.2;124.9;360;0;0
88;354.3;124.9;360;0;0
89;354.4;124.9;360;1;0
90;354.4;124.9;360;0;1
91;354.6;124.9;360;0;0
92;354.5;124.9;360;0;0
93;354.6;124.9;360;0;0
94;354.7;124.9;360;0;0
95;354.7;124.9;360;1;0
96;354.8;124.9;360;0;1
97;354.8;124.9;360;0;0
98;354.8;124.9;360;0;0
99;354.9;124.9;360;0;0
100;355;124.9;360;0;0
101;355;124.9;360;1;0
102;355.2;124.9;360;0;1
103;355.1;124.9;360;0;0
104;355.1;124.9;360;0;0
105;355.3;124.9;360;0;0
106;355.3;124.9;360;0;0
107;355.4;124.9;360;0;0
108;355.4;124.9;360;1;0
109;355.4;124.9;360;0;1
110;355.5;124.9;360;0;0
111;355.6;124.9;360;0;0
112;355.6;124.9;360;0;0
113;355.7;124.9;360;0;0
114;355.7;124.9;360;1;0
115;355.8;124.9;360;0;1
116;355.8;124.9;360;0;0
117;355.9;124.9;360;0;0
118;355.9;124.9;360;0;0
119;355.9;124.9;360;0;0
120;355.9;124.9;360;1;0
121;356;124.9;360;0;1
122;356.1;124.9;360;0;0
123;356.1;124.9;360;0;0
124;356.2;124.9;360;0;0
125;356.2;124.9;360;0;0
126;356.3;124.9;360;0;0
127;356.4;124.9;360;1;0
128;356.4;124.9;360;0;1
129;356.5;124.9;360;0;1
130;356.6;124.9;360;0;0
131;356.5;124.9;360;0;0
132;356.6;124.9;360;0;0
133;356.7;124.9;360;1;0
134;356.7;124.9;360;0;1
135;356.7;124.9;360;0;0
136;356.9;124.9;360;0;0
137;356.9;124.9;360;0;0
138;356.9;124.9;360;0;0
139;356.9;124.9;360;0;0
140;357;124.9;360;0;0
141;357;124.9;360;0;0
142;357;124.9;360;0;0
143;357.1;124.9;360;0;0
144;357.1;124.9;360;0;0
145;357.1;124.9;360;0;0
146;357.2;124.9;360;1;0
147;357.3;124.9;360;1;1
148;357.3;124.9;360;1;1
149;357.3;124.9;360;1;1
150;357.3;124.9;360;1;1
151;357.4;124.9;360;1;1
152;357.3;124.9;360;1;1
153;357.4;124.9;360;0;1
154;357.5;124.9;360;0;0
155;357.6;124.9;360;0;0
156;357.7;124.9;360;0;0
157;357.8;124.9;360;0;0
158;358;124.9;360;0;0
159;358;124.9;360;0;0
160;358.2;124.9;360;0;0
161;358.4;124.9;360;0;0
162;358.5;124.9;360;0;0
163;358.6;124.9;360;0;0
164;358.7;124.9;360;0;0
165;358.7;124.9;360;0;0
166;358.9;124.9;360;0;0
167;358.9;124.9;360;0;0
168;359;124.9;360;0;0
169;359.1;124.9;360;0;0
170;359.1;124.9;360;0;0
171;359.2;124.9;360;0;0
172;359.2;124.9;360;0;0
173;359.2;124.9;360;0;0
174;359.3;124.9;360;0;0
175;359.4;124.9;360;0;0
176;359.4;124.9;360;0;0
177;359.4;124.9;360;0;0
178;359.5;124.9;360;0;0
179;359.4;124.9;360;0;0
180;359.5;124.9;360;0;0
181;359.5;124.9;360;0;0
182;359.5;124.9;360;0;0
183;359.5;124.9;360;0;0
184;359.5;124.9;360;0;0
185;359.6;124.9;360;0;0
186;359.5;124.9;360;0;0
187;359.6;124.9;360;0;0
188;359.6;124.9;360;0;0
189;359.6;124.9;360;0;0
190;359.5;124.9;360;1;0
191;359.5;124.9;360;0;1
192;359.6;124.9;360;0;0
193;359.6;124.9;360;0;0
194;359.5;124.9;360;0;0
195;359.6;124.9;360;0;0
196;359.6;124.9;360;0;0
197;359.6;124.9;360;0;0
198;359.6;124.9;360;0;0
199;359.7;124.9;360;0;0
200;359.7;124.9;360;0;0
201;359.7;124.9;360;0;0
202;359.6;124.9;360;0;0
203;359.7;124.9;360;1;0
204;359.7;124.9;360;0;1
205;359.7;124.9;360;0;0
206;359.7;124.9;360;0;0
207;359.7;124.9;360;0;0
208;359.7;124.9;360;0;0
209;359.7;124.9;360;1;0
210;359.7;124.9;360;0;1
211;359.7;124.9;360;0;0
212;359.8;124.9;360;0;0
213;359.7;124.9;360;0;0
214;359.8;124.9;360;0;0
215;359.8;124.9;360;0;0
216;359.8;124.9;360;1;0
217;359.8;124.9;360;0;1
218;359.9;124.9;360;0;0
219;359.9;124.9;360;0;0
220;360;124.9;360;0;0
221;360;124.9;360;0;0
222;360;124.9;360;1;0
223;360;124.9;360;0;1
224;360;124.9;360;0;0
225;360.1;124.9;360;0;0
226;360.1;124.9;360;0;0
227;360.1;124.9;360;0;0
228;360.2;124.9;360;1;0
229;360.2;124.9;360;0;1
230;360.2;124.9;360;0;0
231;360.3;124.9;360;0;0
232;360.3;124.9;360;0;0
233;360.3;124.9;360;0;0
234;360.4;124.9;360;0;0
235;360.5;124.9;360;0;0
236;360.5;124.9;360;0;0
237;360.5;124.9;360;0;0
238;360.5;124.9;360;0;0
239;360.5;124.9;360;0;0
240;360.5;124.9;360;0;0
241;360.5;124.9;360;1;0
242;360.6;124.9;360;0;1
243;360.6;124.9;360;0;0
244;360.6;124.9;360;0;0
245;360.6;124.9;360;0;0
246;360.6;124.9;360;0;0
247;360.6;124.9;360;1;0
248;360.6;124.9;360;0;1
249;360.7;124.9;360;0;0
250;360.7;124.9;360;0;0
251;360.7;124.9;360;0;0
252;360.8;124.9;360;0;0
253;360.8;124.9;360;1;0
254;360.9;124.9;360;1;1
255;360.9;124.9;360;0;1
256;360.9;124.9;360;0;0
257;361;124.9;360;0;0
258;361;124.9;360;0;0
259;361;124.9;360;0;0
260;361;124.9;360;1;0
261;361.2;124.9;360;0;1
262;361.2;124.9;360;0;0
263;361.3;124.9;360;0;0
264;361.3;124.9;360;0;0
265;361.4;124.9;360;0;0
266;361.4;124.9;360;1;0
267;361.4;124.9;360;1;1
268;361.5;124.9;360;0;1
269;361.6;124.9;360;0;0
270;361.7;124.9;360;0;0
271;361.7;124.9;360;0;0
272;361.8;124.9;360;0;0
273;361.8;124.9;360;1;0
274;361.8;124.9;360;0;1
275;362;124.9;360;0;0
276;362;124.9;360;0;0
277;362.1;124.9;360;0;0
278;362.1;124.9;360;0;0
279;362.2;124.9;360;1;0
280;362.3;124.9;360;0;1
281;362.3;124.9;360;0;0
282;362.3;124.9;360;0;0
283;362.4;124.9;360;0;0
284;362.4;124.9;360;0;0
285;362.6;124.9;360;1;0
286;362.6;124.9;360;1;1
287;362.6;124.9;360;0;1
288;362.7;124.9;360;0;0
289;362.8;124.9;360;0;0
290;362.8;124.9;360;0;0
291;362.9;124.9;360;0;0
292;363;124.9;360;1;0
293;363;124.9;360;0;1
294;363.2;124.9;360;0;0
295;363.2;124.9;360;0;0
296;363.3;124.9;360;0;0
297;363.3;124.9;360;0;0
298;363.4;124.9;360;1;0
299;363.4;124.9;360;1;1
300;363.6;124.9;360;0;1
301;363.6;124.9;360;0;0
302;363.6;124.9;360;0;0
303;363.7;124.9;360;0;0
304;363.8;124.9;360;0;0
305;363.9;124.9;360;1;0
306;363.9;124.9;360;1;1
307;364;124.9;360;0;1
308;364.1;124.9;360;0;0
309;364.1;124.9;360;0;0
310;364.3;124.9;360;0;0
311;364.2;124.9;360;1;0
312;364.3;124.9;360;1;1
313;364.4;124.9;360;1;1
314;364.5;124.9;360;1;1
315;364.6;124.9;360;1;1
316;364.7;124.9;360;1;1
317;364.9;124.9;360;1;1
318;365;124.9;360;1;1
319;365.1;124.9;360;0;1
320;365.3;124.9;360;0;0
321;365.4;124.9;360;0;0
322;365.6;124.9;360;0;0
323;365.8;124.9;360;0;0
324;365.9;124.9;360;1;0
325;366.1;124.9;360;0;1
326;366.3;124.9;360;0;0
327;366.5;124.9;360;0;0
328;366.6;124.9;360;0;0
329;366.8;124.9;360;0;0
330;366.9;124.9;360;1;0
331;367;124.9;360;1;1
332;367.1;124.9;360;0;1
333;367.3;124.9;360;0;0
334;367.4;124.9;360;0;0
335;367.4;124.9;360;0;0
336;367.6;124.9;360;1;0
337;367.8;124.9;360;1;1
338;367.9;124.9;360;0;1
339;368;124.9;360;0;0
340;368.1;124.9;360;0;0
341;368.2;124.9;360;0;0
342;368.4;124.9;360;0;0
343;368.5;124.9;360;1;0
344;368.6;124.9;360;0;1
345;368.7;124.9;360;0;0
346;368.8;124.9;360;0;0
347;369;124.9;360;0;0
348;369;124.9;360;0;0
349;369.1;124.9;360;1;0
350;369.2;124.9;360;1;1
351;369.3;124.9;360;0;1
352;369.4;124.9;360;0;0
353;369.5;124.9;360;0;0
354;369.7;124.9;360;0;0
355;369.7;124.9;360;1;0
356;369.8;124.9;360;1;1
357;369.9;124.9;360;0;1
358;370;124.9;360;0;0
359;370.2;124.9;360;0;0
360;370.2;124.9;360;0;0
361;370.4;124.9;360;0;0
362;370.5;124.9;360;1;0
363;370.6;124.9;360;0;1
364;370.7;124.9;360;0;0
365;370.8;124.9;360;0;0
366;370.9;124.9;360;0;0
367;371;124.9;360;0;0
368;371.1;124.9;360;1;0
369;371.3;124.9;360;1;1
370;371.3;124.9;360;0;1
371;371.4;124.9;360;0;0
372;371.5;124.9;360;0;0
373;371.6;124.9;360;0;0
374;371.8;124.9;360;0;0
375;371.8;124.9;360;1;0
376;371.9;124.9;360;0;1
377;372;124.9;360;0;0
378;372;124.9;360;0;0
379;372.2;124.9;360;0;0
380;372.3;124.9;360;0;0
381;372.4;124.9;360;1;0
382;372.5;124.9;360;0;1
383;372.5;124.9;360;0;0
384;372.6;124.9;360;0;0
385;372.7;124.9;360;0;0
386;372.7;124.9;380;0;0
387;372.9;124.9;380;1;0
388;372.9;124.9;380;1;1
389;373;124.9;380;1;1
390;373.1;124.9;380;1;1
391;373.2;124.9;380;1;1
392;373.3;124.9;380;0;1
393;373.4;124.9;380;0;0
394;373.5;124.9;380;1;0
395;373.6;124.9;380;1;1
396;373.8;124.9;380;1;1
397;374;124.9;380;1;1
398;374.1;124.9;380;0;1
399;374.3;124.9;380;0;0
400;374.4;124.9;380;1;0
401;374.6;124.9;380;1;1
402;374.8;124.9;380;1;1
403;375;124.9;380;1;1
404;375.2;124.9;380;0;1
405;375.3;124.9;380;0;0
406;375.6;124.9;380;1;0
407;375.8;124.9;380;1;1
408;376;124.9;380;1;1
409;376.3;124.9;380;0;1
410;376.4;124.9;380;0;0
411;376.7;124.9;380;0;0
412;377;124.9;380;0;0
413;377.1;124.9;380;1;0
414;377.4;124.9;380;1;1
415;377.6;124.9;380;0;1
416;377.8;124.9;380;0;0
417;378;124.9;380;0;0
418;378.1;124.9;380;0;0
419;378.3;124.9;380;1;0
420;378.5;124.9;380;0;1
421;378.8;124.9;380;0;0
422;378.9;124.9;380;0;0
423;379;124.9;380;0;0
424;379.2;124.9;380;0;0
425;379.3;124.9;380;1;0
426;379.6;124.9;380;0;1
427;379.7;124.9;380;0;0
428;379.8;124.9;380;0;0
429;380;124.9;380;0;0
430;380.1;124.9;380;0;0
431;380.3;124.9;380;0;0
432;380.5;124.9;380;0;0
433;380.5;124.9;380;0;0
434;380.7;124.9;380;0;0
435;380.8;124.9;380;0;0
436;380.8;124.9;380;0;0
437;380.9;124.9;380;0;0
438;381.1;124.9;380;0;0
439;381.1;124.9;380;0;0
440;381.2;124.9;380;0;0
441;381.2;124.9;380;0;0
442;381.3;124.9;380;0;0
443;381.4;124.9;380;0;0
444;381.5;124.9;380;0;0
445;381.5;124.9;380;0;0
446;381.5;124.9;380;0;0
447;381.6;124.9;380;0;0
448;381.6;124.9;380;0;0
449;381.7;124.9;380;0;0
450;381.7;124.9;380;0;0
451;381.8;124.9;380;0;0
452;381.8;124.9;380;0;0
453;381.8;124.9;380;0;0
454;381.8;124.9;380;0;0
455;381.9;124.9;380;0;0
456;381.9;124.9;380;0;0
457;381.9;124.9;380;0;0
458;382;124.9;380;0;0
459;382;124.9;380;0;0
460;382;124.9;380;0;0
461;382;124.9;380;0;0
462;382.1;124.9;380;0;0
463;382.1;124.9;380;0;0
464;382.2;124.9;380;0;0
465;382.1;124.9;380;0;0
466;382.1;124.9;380;0;0
467;382.1;124.9;380;0;0
468;382.1;124.9;380;0;0
469;382.2;124.9;380;0;0
470;382.2;124.9;380;0;0
471;382.1;124.9;380;0;0
472;382.2;124.9;380;0;0
473;382.1;124.9;380;0;0
474;382.1;124.9;380;0;0
475;382.2;124.9;380;0;0
476;382.2;124.9;380;0;0
477;382.1;124.9;380;0;0
478;382.1;124.9;380;0;0
479;382.2;124.9;380;0;0
480;382.1;124.9;380;0;0
481;382.2;124.9;380;0;0
482;382.3;124.9;380;0;0
483;382.3;124.9;380;0;0
484;382.2;124.9;380;0;0
