Setpoint (C):,180

Time (sec),Temperature 1 (C),Temperature 2 (C),Relay 1,Relay 2
1,164,124.9,0,0
2,164,124.9,0,0
3,164,124.9,0,0
4,164,124.9,0,0
5,164,124.9,0,0
6,163.9,124.9,0,0
7,164,124.9,0,0
8,163.9,124.9,1,1
9,163.9,124.9,0,0
10,163.9,124.9,0,0
11,163.8,124.9,0,0
12,163.8,124.9,0,0
13,163.8,124.9,0,0
14,163.9,124.9,1,1
15,163.8,124.9,0,0
16,163.8,124.9,0,0
17,163.8,124.9,0,0
18,163.8,124.9,0,0
19,163.8,124.9,0,0
20,163.8,124.9,1,1
21,163.9,124.9,0,0
22,163.8,124.9,0,0
23,163.8,124.9,0,0
24,163.9,124.9,0,0
25,163.8,124.9,0,0
26,163.8,124.9,1,1
27,163.9,124.9,1,1
28,163.9,124.9,0,0
29,163.9,124.9,0,0
30,164,124.9,0,0
31,164,124.9,0,0
32,164.1,124.9,0,0
33,164.1,124.9,1,1
34,164.1,124.9,0,0
35,164.2,124.9,0,0
36,164.2,124.9,0,0
37,164.2,124.9,0,0
38,164.4,124.9,0,0
39,164.4,124.9,1,1
40,164.3,124.9,0,0
41,164.4,124.9,0,0
42,164.4,124.9,0,0
43,164.4,124.9,0,0
44,164.5,124.9,0,0
45,164.6,124.9,1,1
46,164.5,124.9,0,0
47,164.7,124.9,0,0
48,164.7,124.9,0,0
49,164.7,124.9,0,0
50,164.8,124.9,0,0
51,164.8,124.9,0,0
52,164.8,124.9,1,1
53,164.9,124.9,0,0
54,164.9,124.9,0,0
55,164.9,124.9,0,0
56,165,124.9,0,0
57,165,124.9,0,0
58,165,124.9,1,1
59,165.1,124.9,0,0
60,165.1,124.9,0,0
61,165.2,124.9,0,0
62,165.2,124.9,0,0
63,165.3,124.9,0,0
64,165.3,124.9,1,1
65,165.4,124.9,0,0
66,165.3,124.9,0,0
67,165.4,124.9,0,0
68,165.4,124.9,0,0
69,165.5,124.9,0,0
70,165.5,124.9,0,0
71,165.5,124.9,1,1
72,165.6,124.9,0,0
73,165.7,124.9,0,0
74,165.7,124.9,0,0
75,165.7,124.9,0,0
