Setpoint (C):;100

Time (sec);Temperature 1 (C);Temperature 2 (C);Relay 1;Relay 2
1;24.5;124.9;0;0
2;24.5;124.9;1;1
3;24.5;124.9;1;1
4;24.5;124.9;1;1
5;24.5;124.9;1;1
6;24.5;124.9;1;1
7;24.5;124.9;1;1
8;24.5;124.9;0;0
9;24.7;124.9;0;0
10;24.7;124.9;1;1
11;24.8;124.9;1;1
12;24.9;124.9;1;1
13;25;124.9;1;1
14;25.1;124.9;1;1
15;25.2;124.9;1;1
16;25.2;124.9;0;0
17;25.4;124.9;0;0
18;25.5;124.9;1;1
19;25.6;124.9;1;1
20;25.8;124.9;1;1
21;26;124.9;1;1
22;26.1;124.9;1;1
23;26.2;124.9;1;1
24;26.5;124.9;1;1
25;26.6;124.9;0;0
26;26.8;124.9;0;0
27;26.9;124.9;1;1
28;27.1;124.9;1;1
29;27.3;124.9;1;1
30;27.5;124.9;1;1
31;27.6;124.9;1;1
32;27.7;124.9;1;1
33;27.9;124.9;0;0
34;28;124.9;0;0
35;28.2;124.9;1;1
36;28.5;124.9;1;1
37;28.6;124.9;1;1
38;28.7;124.9;1;1
39;28.9;124.9;1;1
40;29.2;124.9;1;1
41;29.3;124.9;0;0
42;29.5;124.9;0;0
43;29.7;124.9;1;1
44;29.9;124.9;1;1
45;30.1;124.9;1;1
46;30.2;124.9;1;1
47;30.4;124.9;1;1
48;30.6;124.9;1;1
49;30.8;124.9;0;0
50;31;124.9;0;0
51;31;124.9;0;0
52;31.2;124.9;1;1
53;31.4;124.9;1;1
54;31.6;124.9;1;1
55;32;124.9;1;1
56;32.1;124.9;1;1
57;32.3;124.9;0;0
58;32.5;124.9;0;0
59;32.6;124.9;0;0
60;32.8;124.9;1;1
61;33;124.9;1;1
62;33.1;124.9;1;1
63;33.3;124.9;1;1
64;33.5;124.9;1;1
65;33.8;124.9;1;1
66;33.9;124.9;0;0
67;34.1;124.9;0;0
68;34.3;124.9;0;0
69;34.4;124.9;1;1
70;34.5;124.9;1;1
71;34.7;124.9;1;1
72;34.9;124.9;1;1
73;35;124.9;1;1
74;35.1;124.9;0;0
75;35.3;124.9;0;0
76;35.4;124.9;0;0
77;35.6;124.9;1;1
78;35.7;124.9;1;1
79;36;124.9;1;1
80;36.3;124.9;1;1
81;36.5;124.9;1;1
82;36.7;124.9;1;1
83;36.9;124.9;0;0
84;37.2;124.9;0;0
85;37.3;124.9;0;0
86;37.5;124.9;1;1
87;37.7;124.9;1;1
88;37.8;124.9;1;1
89;38.1;124.9;1;1
90;38.4;124.9;1;1
91;38.4;124.9;0;0
92;38.7;124.9;0;0
93;38.8;124.9;0;0
94;38.8;124.9;1;1
95;39;124.9;1;1
96;39.2;124.9;1;1
97;39.6;124.9;1;1
98;39.8;124.9;1;1
99;39.9;124.9;0;0
100;40.2;124.9;0;0
101;40.3;124.9;0;0
102;40.5;124.9;1;1
103;40.6;124.9;1;1
104;40.8;124.9;1;1
105;41.1;124.9;1;1
106;41.2;124.9;1;1
107;41.4;124.9;0;0
108;41.8;124.9;0;0
109;42;124.9;0;0
110;42.3;124.9;0;0
111;42.4;124.9;1;1
112;42.4;124.9;1;1
113;42.4;124.9;1;1
114;42.5;124.9;1;1
115;42.7;124.9;0;0
116;43;124.9;0;0
117;43.3;124.9;0;0
118;43.6;124.9;0;0
119;44;124.9;1;1
120;44.2;124.9;1;1
121;44.3;124.9;1;1
122;44.5;124.9;1;1
123;44.5;124.9;1;1
124;44.7;124.9;0;0
125;44.9;124.9;0;0
126;45.1;124.9;0;0
127;45.3;124.9;1;1
128;45.7;124.9;1;1
129;45.9;124.9;1;1
130;46.1;124.9;1;1
131;46.3;124.9;1;1
132;46.5;124.9;0;0
133;46.8;124.9;0;0
134;46.9;124.9;0;0
135;47.1;124.9;0;0
136;47.2;124.9;1;1
137;47.3;124.9;1;1
138;47.4;124.9;1;1
139;47.7;124.9;1;1
140;47.9;124.9;0;0
141;48.1;124.9;0;0
142;48.3;124.9;0;0
143;48.3;124.9;0;0
144;48.7;124.9;1;1
145;48.9;124.9;1;1
146;49;124.9;1;1
147;49.2;124.9;1;1
148;49.5;124.9;0;0
149;49.8;124.9;0;0
150;50.1;124.9;0;0
151;50.4;124.9;0;0
152;50.2;124.9;1;1
153;50.3;124.9;1;1
154;50.4;124.9;1;1
155;50.6;124.9;1;1
156;50.8;124.9;1;1
157;51;124.9;0;0
158;51.1;124.9;0;0
159;51.4;124.9;0;0
160;51.7;124.9;0;0
161;52;124.9;1;1
162;52.1;124.9;1;1
163;52.3;124.9;1;1
164;52.4;124.9;1;1
165;52.6;124.9;0;0
166;52.9;124.9;0;0
167;52.9;124.9;0;0
168;53.1;124.9;0;0
169;53.3;124.9;1;1
170;53.5;124.9;1;1
171;53.8;124.9;1;1
172;53.8;124.9;1;1
173;54;124.9;0;0
174;54.1;124.9;0;0
175;54.3;124.9;0;0
176;54.7;124.9;0;0
177;54.8;124.9;1;1
178;55.1;124.9;1;1
179;55.4;124.9;1;1
180;56;124.9;1;1
181;56;124.9;0;0
182;56.2;124.9;0;0
183;56.5;124.9;0;0
184;56.8;124.9;0;0
185;57;124.9;0;0
186;57.1;124.9;1;1
187;57.3;124.9;1;1
188;57.4;124.9;1;1
189;57.5;124.9;0;0
190;57.9;124.9;0;0
191;58.3;124.9;0;0
192;58.5;124.9;0;0
193;58.7;124.9;0;0
194;58.8;124.9;1;1
195;59;124.9;1;1
196;58.9;124.9;1;1
197;59;124.9;1;1
198;59.2;124.9;0;0
199;59.4;124.9;0;0
200;59.7;124.9;0;0
201;59.7;124.9;0;0
202;60.1;124.9;0;0
203;60.3;124.9;1;1
204;60.4;124.9;1;1
205;60.5;124.9;1;1
206;60.6;124.9;0;0
207;60.9;124.9;0;0
208;61.2;124.9;0;0
209;61.4;124.9;0;0
210;61.7;124.9;0;0
211;61.8;124.9;1;1
212;62;124.9;1;1
213;62.2;124.9;1;1
214;62.5;124.9;1;1
215;62.6;124.9;0;0
216;62.6;124.9;0;0
217;62.7;124.9;0;0
218;63.1;124.9;0;0
219;63.3;124.9;0;0
220;63.5;124.9;1;1
221;63.5;124.9;1;1
222;63.6;124.9;1;1
223;63.8;124.9;0;0
224;64.2;124.9;0;0
225;64.3;124.9;0;0
226;64.3;124.9;0;0
227;64.4;124.9;0;0
228;64.6;124.9;1;1
229;64.9;124.9;1;1
230;65.4;124.9;1;1
231;65.6;124.9;0;0
232;65.6;124.9;0;0
233;65.7;124.9;0;0
234;65.7;124.9;0;0
235;65.8;124.9;0;0
236;65.9;124.9;0;0
237;66.5;124.9;1;1
238;66.7;124.9;1;1
239;67;124.9;0;0
240;67;124.9;0;0
241;67.2;124.9;0;0
242;67.5;124.9;0;0
243;67.6;124.9;0;0
244;67.7;124.9;1;1
245;68;124.9;1;1
246;68.1;124.9;1;1
247;68.3;124.9;0;0
248;68.2;124.9;0;0
249;68.2;124.9;0;0
250;68.3;124.9;0;0
251;68.6;124.9;0;0
252;68.8;124.9;1;1
253;69;124.9;1;1
254;69.1;124.9;1;1
255;69.4;124.9;0;0
256;69.5;124.9;0;0
257;69.6;124.9;0;0
258;69.8;124.9;0;0
259;69.9;124.9;0;0
260;70.2;124.9;0;0
261;70.4;124.9;1;1
262;70.6;124.9;1;1
263;70.6;124.9;0;0
264;70.9;124.9;0;0
265;71.1;124.9;0;0
266;71.3;124.9;0;0
267;71.6;124.9;0;0
268;71.5;124.9;0;0
269;71.6;124.9;1;1
270;71.8;124.9;1;1
271;71.9;124.9;0;0
272;72.2;124.9;0;0
273;72.3;124.9;0;0
274;72.3;124.9;0;0
275;72.4;124.9;0;0
276;72.2;124.9;0;0
277;72.6;124.9;1;1
278;72.7;124.9;1;1
279;72.7;124.9;1;1
280;73.1;124.9;0;0
281;73.2;124.9;0;0
282;73.4;124.9;0;0
283;73.6;124.9;0;0
284;73.9;124.9;0;0
285;74;124.9;0;0
286;74;124.9;1;1
287;74;124.9;1;1
288;74.4;124.9;0;0
289;74.6;124.9;0;0
290;74.8;124.9;0;0
291;74.9;124.9;0;0
292;75;124.9;0;0
293;75;124.9;0;0
294;75.2;124.9;1;1
295;75.1;124.9;1;1
296;75.2;124.9;0;0
297;75.3;124.9;0;0
298;75.6;124.9;0;0
299;75.8;124.9;0;0
300;76.2;124.9;0;0
301;76.5;124.9;0;0
302;76.6;124.9;1;1
303;76.8;124.9;1;1
304;76.7;124.9;0;0
305;76.6;124.9;0;0
306;76.5;124.9;0;0
307;76.6;124.9;0;0
