Setpoint (C):;240

Time (sec);Temperature 1 (C);Temperature 2 (C);Relay 1;Relay 2
1;238.2;124.9;0;0
2;238.6;124.9;0;0
3;238.3;124.9;0;0
4;238.4;124.9;0;0
5;239;124.9;0;0
6;238.8;124.9;0;0
7;239.2;124.9;0;0
8;238.6;124.9;0;0
9;239;124.9;0;0
10;238.9;124.9;0;0
11;238.8;124.9;0;0
12;238.1;124.9;0;0
13;237.7;124.9;0;0
14;235.7;124.9;0;0
15;236.8;124.9;0;0
16;237.4;124.9;0;0
17;237.7;124.9;0;0
18;238;124.9;1;1
19;237.3;124.9;0;0
20;236.7;124.9;0;0
21;236.7;124.9;0;0
22;236.7;124.9;0;0
23;237.2;124.9;0;0
24;237.4;124.9;0;0
25;237.3;124.9;0;0
26;237.1;124.9;0;0
27;236.9;124.9;0;0
28;237.7;124.9;0;0
29;238.2;124.9;0;0
30;238.6;124.9;0;0
31;238.8;124.9;0;0
32;239;124.9;0;0
33;239.1;124.9;0;0
34;239;124.9;0;0
35;239.1;124.9;0;0
36;239;124.9;0;0
37;239.1;124.9;0;0
38;239.1;124.9;0;0
39;239.1;124.9;0;0
40;239.2;124.9;0;0
41;239.1;124.9;0;0
42;239.2;124.9;0;0
43;239.2;124.9;1;1
44;239.2;124.9;0;0
45;239.2;124.9;0;0
46;239.2;124.9;0;0
47;239.2;124.9;0;0
48;239.2;124.9;0;0
49;239.1;124.9;0;0
50;239;124.9;0;0
51;239;124.9;0;0
52;239;124.9;0;0
53;238.9;124.9;0;0
54;238.9;124.9;0;0
55;238.9;124.9;0;0
56;239;124.9;0;0
57;239;124.9;0;0
58;239;124.9;0;0
59;239;124.9;0;0
60;238.9;124.9;1;1
61;239;124.9;0;0
62;238.9;124.9;0;0
63;238.9;124.9;0;0
64;239;124.9;0;0
65;238.9;124.9;0;0
66;238.9;124.9;0;0
67;238.8;124.9;0;0
68;238.8;124.9;0;0
69;238.8;124.9;1;1
70;238.8;124.9;0;0
71;238.8;124.9;0;0
72;238.8;124.9;0;0
73;238.8;124.9;0;0
74;238.8;124.9;0;0
75;238.8;124.9;0;0
76;238.8;124.9;0;0
77;238.8;124.9;0;0
78;238.8;124.9;0;0
79;238.7;124.9;0;0
80;238.7;124.9;0;0
81;238.7;124.9;0;0
82;238.8;124.9;0;0
83;238.8;124.9;0;0
84;238.8;124.9;0;0
85;238.8;124.9;0;0
86;238.8;124.9;1;1
87;238.7;124.9;0;0
88;238.7;124.9;0;0
89;238.7;124.9;0;0
90;238.6;124.9;0;0
91;238.6;124.9;0;0
92;238.6;124.9;0;0
93;238.6;124.9;0;0
94;238.6;124.9;1;1
95;238.5;124.9;0;0
96;238.5;124.9;0;0
97;238.5;124.9;0;0
98;238.4;124.9;0;0
99;238.5;124.9;0;0
100;238.6;124.9;0;0
101;238.6;124.9;0;0
102;238.4;124.9;0;0
103;238.4;124.9;1;1
104;238.4;124.9;0;0
105;238.4;124.9;0;0
106;238.4;124.9;0;0
107;238.4;124.9;0;0
108;238.4;124.9;0;0
109;238.3;124.9;0;0
110;238.3;124.9;0;0
111;238.3;124.9;0;0
112;238.3;124.9;1;1
113;238.3;124.9;0;0
114;238.3;124.9;0;0
115;238.3;124.9;0;0
116;238.3;124.9;0;0
117;238.3;124.9;0;0
118;238.2;124.9;0;0
119;238.2;124.9;0;0
120;238.1;124.9;1;1
121;238.1;124.9;0;0
122;238.2;124.9;0;0
123;238.2;124.9;0;0
124;238.3;124.9;0;0
125;238.3;124.9;0;0
126;238.3;124.9;0;0
127;238.3;124.9;0;0
128;238.4;124.9;0;0
129;238.3;124.9;1;1
130;238.3;124.9;0;0
