Setpoint (C):,150

Time (sec),Temperature 1 (C),Temperature 2 (C),Relay 1,Relay 2
1,113.3,124.9,0,0
2,113.3,124.9,0,0
3,113.3,124.9,1,1
4,113.3,124.9,1,1
5,113.3,124.9,1,1
6,113.3,124.9,1,1
7,113.3,124.9,1,1
8,113.3,124.9,0,0
9,113.4,124.9,1,1
10,113.5,124.9,1,1
11,113.5,124.9,1,1
12,113.5,124.9,1,1
13,113.6,124.9,1,1
14,113.7,124.9,0,0
15,113.9,124.9,1,1
16,114,124.9,1,1
17,114.1,124.9,1,1
18,114.3,124.9,1,1
19,114.4,124.9,1,1
20,114.6,124.9,0,0
21,114.7,124.9,1,1
22,114.9,124.9,1,1
23,115.1,124.9,1,1
24,115.3,124.9,1,1
25,115.4,124.9,1,1
26,115.6,124.9,0,0
27,115.8,124.9,1,1
28,116,124.9,1,1
29,116.2,124.9,1,1
30,116.4,124.9,1,1
31,116.5,124.9,1,1
32,116.8,124.9,0,0
33,117.1,124.9,1,1
34,117.3,124.9,1,1
35,117.4,124.9,1,1
36,117.7,124.9,1,1
37,117.9,124.9,1,1
38,118.1,124.9,0,0
39,118.3,124.9,0,0
40,118.6,124.9,1,1
41,118.9,124.9,1,1
42,119.1,124.9,1,1
43,119.3,124.9,1,1
44,119.6,124.9,0,0
45,119.7,124.9,0,0
46,119.9,124.9,1,1
47,120.2,124.9,1,1
48,120.4,124.9,1,1
49,120.6,124.9,1,1
50,120.8,124.9,0,0
51,121.1,124.9,0,0
52,121.3,124.9,1,1
53,121.5,124.9,1,1
54,121.7,124.9,1,1
55,121.9,124.9,1,1
56,122.2,124.9,0,0
57,122.4,124.9,0,0
58,122.6,124.9,1,1
59,122.9,124.9,1,1
60,123.1,124.9,1,1
61,123.3,124.9,0,0
62,123.5,124.9,0,0
63,123.8,124.9,1,1
64,124,124.9,1,1
65,124.2,124.9,1,1
66,124.4,124.9,1,1
67,124.6,124.9,1,1
68,124.9,124.9,0,0
69,125.2,124.9,0,0
70,125.4,124.9,1,1
71,125.6,124.9,1,1
72,125.8,124.9,1,1
73,126,124.9,1,1
74,126.3,124.9,0,0
75,126.5,124.9,0,0
76,126.7,124.9,1,1
77,127.1,124.9,1,1
