Time (sec);Temperature 1 (C);Temperature 2 (C);Set point (C);Relay 1;Relay 2
0;88.7;124.9;100;0;0
1;88.7;124.9;100;0;0
2;88.7;124.9;100;0;0
3;88.7;124.9;100;0;0
4;88.7;124.9;100;0;0
5;88.7;124.9;100;0;0
6;88.7;124.9;100;0;0
7;88.7;124.9;100;1;0
8;88.7;124.9;100;0;1
9;88.7;124.9;100;0;0
10;88.7;124.9;100;0;0
11;88.7;124.9;100;0;0
12;88.6;124.9;100;0;0
13;88.7;124.9;100;1;0
14;88.7;124.9;100;0;1
15;88.7;124.9;100;0;0
16;88.7;124.9;100;0;0
17;88.7;124.9;100;0;0
18;88.7;124.9;100;0;0
19;88.8;124.9;100;0;0
20;88.7;124.9;100;0;0
21;88.8;124.9;100;0;0
22;88.8;124.9;100;0;0
23;88.9;124.9;100;0;0
24;88.8;124.9;100;0;0
25;88.8;124.9;100;0;0
26;88.8;124.9;100;1;0
27;88.8;124.9;100;0;1
28;88.8;124.9;100;0;0
29;88.9;124.9;100;0;0
30;88.8;124.9;100;0;0
31;89;124.9;100;0;0
32;88.9;124.9;100;1;0
33;88.9;124.9;100;0;1
34;89;124.9;100;0;0
35;89;124.9;100;0;0
36;89;124.9;100;0;0
37;89.1;124.9;100;0;0
38;89.1;124.9;100;1;0
39;89.1;124.9;100;0;1
40;89.2;124.9;100;0;0
41;89.2;124.9;100;0;0
42;89.2;124.9;100;0;0
43;89.3;124.9;100;0;0
44;89.3;124.9;100;0;0
45;89.3;124.9;100;0;0
46;89.3;124.9;100;0;0
47;89.3;124.9;100;0;0
48;89.4;124.9;100;0;0
49;89.5;124.9;100;0;0
50;89.5;124.9;100;0;0
51;89.5;124.9;100;1;0
52;89.5;124.9;100;0;1
53;89.5;124.9;100;0;0
54;89.5;124.9;100;0;0
55;89.5;124.9;100;0;0
56;89.6;124.9;100;0;0
57;89.5;124.9;100;1;0
58;89.6;124.9;100;0;1
59;89.6;124.9;100;0;0
60;89.7;124.9;100;0;0
61;89.7;124.9;100;0;0
62;89.8;124.9;100;0;0
63;89.8;124.9;100;0;0
64;89.8;124.9;100;0;0
65;89.8;124.9;100;0;0
66;89.8;124.9;100;0;0
67;89.9;124.9;100;0;0
68;89.9;124.9;100;0;0
69;90;124.9;100;0;0
70;90;124.9;100;1;0
71;89.9;124.9;100;0;1
72;90;124.9;100;0;0
73;90;124.9;100;0;0
74;90;124.9;100;0;0
75;90.1;124.9;100;0;0
76;90.1;124.9;100;0;0
77;90.1;124.9;100;0;0
78;90.2;124.9;100;0;0
79;90.2;124.9;100;0;0
80;90.2;124.9;100;0;0
81;90.2;124.9;100;0;0
82;90.2;124.9;100;0;0
83;90.2;124.9;100;1;0
84;90.2;124.9;100;0;1
