Time (sec);Temperature 1 (C);Temperature 2 (C);Set point (C);Relay 1;Relay 2
0;246.5;124.9;250;0;0
1;246.4;124.9;250;0;0
2;246.3;124.9;250;0;0
3;246.3;124.9;250;0;0
4;246.4;124.9;250;0;0
5;246.3;124.9;250;0;0
6;246.3;124.9;250;0;0
7;246.4;124.9;250;0;0
8;246.4;124.9;250;0;0
9;246.3;124.9;250;0;0
10;246.3;124.9;250;1;0
11;246.2;124.9;250;0;0
12;246.1;124.9;250;0;1
13;246.1;124.9;250;0;0
14;246.1;124.9;250;0;0
15;246.1;124.9;250;0;0
16;246;124.9;250;0;0
17;246;124.9;250;0;0
18;246;124.9;250;1;0
19;245.9;124.9;250;0;0
20;246;124.9;250;0;1
21;245.9;124.9;250;0;0
22;246;124.9;250;0;0
23;245.9;124.9;250;0;0
24;245.9;124.9;250;0;0
25;245.9;124.9;250;0;0
26;245.9;124.9;250;1;0
27;245.8;124.9;250;0;0
28;245.9;124.9;250;0;1
29;245.9;124.9;250;0;0
30;245.9;124.9;250;0;0
31;245.9;124.9;250;0;0
32;245.9;124.9;250;0;0
33;245.9;124.9;250;0;0
34;246;124.9;250;1;0
35;246;124.9;250;0;1
36;245.9;124.9;250;0;1
37;245.9;124.9;250;0;0
38;246;124.9;250;0;0
39;245.9;124.9;250;0;0
40;246;124.9;250;0;0
41;246;124.9;250;0;0
42;245.9;124.9;250;1;0
43;245.9;124.9;250;0;1
44;245.9;124.9;250;0;0
45;245.9;124.9;250;0;0
46;245.9;124.9;250;0;0
47;246;124.9;250;0;0
48;246;124.9;250;0;0
49;246;124.9;250;0;0
50;246;124.9;250;1;0
51;246;124.9;250;0;1
52;246;124.9;250;0;0
53;246;124.9;250;0;0
54;246;124.9;250;0;0
55;246;124.9;250;0;0
56;246;124.9;250;0;0
57;246;124.9;250;0;0
58;246;124.9;250;0;0
59;246;124.9;250;1;0
60;246.1;124.9;250;0;1
61;246.2;124.9;250;0;0
62;246.1;124.9;250;0;0
63;246.2;124.9;250;0;0
64;246;124.9;250;0;0
65;246.1;124.9;250;0;0
66;246.1;124.9;250;0;0
67;246.2;124.9;250;0;0
68;246.2;124.9;250;1;0
69;246.2;124.9;250;0;1
70;246.2;124.9;250;0;0
71;246.1;124.9;250;0;0
72;246;124.9;250;0;0
73;246.1;124.9;250;0;0
74;246;124.9;250;0;0
75;246.2;124.9;250;0;0
76;246.2;124.9;250;1;0
77;246.2;124.9;250;0;1
78;246.2;124.9;250;0;0
79;246.2;124.9;250;0;0
80;246.3;124.9;250;0;0
81;246.2;124.9;250;0;0
82;246.3;124.9;250;0;0
83;246.3;124.9;250;0;0
84;246.3;124.9;250;0;0
85;246.3;124.9;250;1;0
86;246.3;124.9;250;0;1
87;246.4;124.9;250;0;0
88;246.4;124.9;250;0;0
89;246.3;124.9;250;0;0
90;246.3;124.9;250;0;0
91;246.3;124.9;250;0;0
92;246.3;124.9;250;0;0
93;246.3;124.9;250;1;0
94;246.3;124.9;250;0;1
95;246.3;124.9;250;0;0
96;246.3;124.9;250;0;0
97;246.3;124.9;250;0;0
98;246.3;124.9;250;0;0
99;246.3;124.9;250;0;0
100;246.3;124.9;250;0;0
101;246.4;124.9;250;0;0
102;246.4;124.9;250;1;0
103;246.5;124.9;250;0;1
104;246.5;124.9;250;0;0
105;246.6;124.9;250;0;0
106;246.5;124.9;250;0;0
107;246.5;124.9;250;0;0
108;246.6;124.9;250;0;0
109;246.6;124.9;250;0;0
110;246.5;124.9;250;1;0
111;246.5;124.9;250;0;1
112;246.5;124.9;250;0;0
113;246.5;124.9;250;0;0
114;246.5;124.9;250;0;0
115;246.6;124.9;250;0;0
116;246.6;124.9;250;0;0
117;246.6;124.9;250;0;0
118;246.6;124.9;250;0;0
119;246.5;124.9;250;1;0
120;246.5;124.9;250;0;1
121;246.6;124.9;250;0;0
122;246.6;124.9;250;0;0
123;246.6;124.9;250;0;0
124;246.7;124.9;250;0;0
125;246.7;124.9;250;0;0
126;246.8;124.9;250;0;0
127;246.7;124.9;250;1;0
128;246.7;124.9;250;0;1
129;246.6;124.9;250;0;0
130;246.7;124.9;250;0;0
131;246.7;124.9;250;0;0
132;246.7;124.9;250;0;0
133;246.8;124.9;250;0;0
134;246.9;124.9;250;0;0
135;247;124.9;250;0;0
136;246.9;124.9;250;0;0
137;246.9;124.9;250;0;0
138;246.9;124.9;250;0;0
139;247;124.9;250;0;0
140;246.9;124.9;250;0;0
141;246.9;124.9;250;0;0
142;247;124.9;250;0;0
143;247;124.9;250;0;0
144;247;124.9;250;1;0
145;247;124.9;250;0;1
146;247;124.9;250;0;0
147;247;124.9;250;0;0
148;247;124.9;250;0;0
149;247;124.9;250;0;0
150;246.9;124.9;250;0;0
151;246.9;124.9;250;0;0
152;247;124.9;250;0;0
153;247;124.9;250;1;0
154;247;124.9;250;0;1
155;247.1;124.9;250;0;0
156;247.1;124.9;250;0;0
157;247.1;124.9;250;0;0
158;247.2;124.9;250;0;0
159;247.2;124.9;250;0;0
160;247.2;124.9;250;0;0
161;247.1;124.9;250;1;0
162;247.1;124.9;250;0;1
163;247.1;124.9;250;0;0
164;247.1;124.9;250;0;0
165;247.2;124.9;250;0;0
166;247.2;124.9;250;0;0
167;247.3;124.9;250;0;0
168;247.3;124.9;250;0;0
169;247.3;124.9;250;0;0
170;247.4;124.9;250;1;0
171;247.3;124.9;250;0;1
172;247.4;124.9;250;0;0
173;247.4;124.9;250;0;0
174;247.5;124.9;250;0;0
175;247.4;124.9;250;0;0
176;247.4;124.9;250;0;0
177;247.5;124.9;250;0;0
178;247.5;124.9;250;1;0
179;247.5;124.9;250;0;1
180;247.5;124.9;250;0;0
181;247.5;124.9;250;0;0
182;247.5;124.9;250;0;0
183;247.5;124.9;250;0;0
184;247.6;124.9;250;0;0
185;247.6;124.9;250;0;0
186;247.5;124.9;250;0;0
187;247.5;124.9;250;1;0
188;247.7;124.9;250;0;1
189;247.7;124.9;250;0;0
190;247.7;124.9;250;0;0
191;247.7;124.9;250;0;0
192;247.7;124.9;250;0;0
193;247.7;124.9;250;0;0
194;247.7;124.9;250;0;0
195;247.7;124.9;250;1;0
196;247.7;124.9;250;0;1
197;247.8;124.9;250;0;0
198;247.7;124.9;250;0;0
199;247.8;124.9;250;0;0
200;247.8;124.9;250;0;0
201;247.8;124.9;250;0;0
202;247.8;124.9;250;0;0
203;247.8;124.9;250;0;0
204;247.8;124.9;250;1;0
205;247.9;124.9;250;0;1
206;247.8;124.9;250;0;0
207;248;124.9;250;0;0
208;248;124.9;250;0;0
209;248;124.9;250;0;0
210;248.1;124.9;250;0;0
211;248.1;124.9;250;0;0
212;248.1;124.9;250;1;0
213;248;124.9;250;0;1
214;248.1;124.9;250;0;0
215;248.1;124.9;250;0;0
216;248.1;124.9;250;0;0
217;248.1;124.9;250;0;0
218;248.1;124.9;250;0;0
219;248.2;124.9;250;0;0
220;248.2;124.9;250;0;0
221;248.2;124.9;250;1;0
222;248.3;124.9;250;0;1
223;248.2;124.9;250;0;0
224;248.1;124.9;250;0;0
225;248.1;124.9;250;0;0
226;248.1;124.9;250;0;0
227;248.2;124.9;250;0;0
228;248.2;124.9;250;0;0
229;248.2;124.9;250;0;0
230;248.2;124.9;250;1;0
231;248.2;124.9;250;0;1
232;248.5;124.9;250;0;0
233;248.6;124.9;250;0;0
234;248.6;124.9;250;0;0
235;248.6;124.9;250;0;0
236;248.6;124.9;250;0;0
237;248.7;124.9;250;0;0
238;248.7;124.9;250;0;0
239;248.7;124.9;250;1;0
240;248.7;124.9;250;0;1
241;248.6;124.9;250;0;0
242;248.7;124.9;250;0;0
243;248.7;124.9;250;0;0
244;248.6;124.9;250;0;0
245;248.6;124.9;250;0;0
246;248.7;124.9;250;0;0
247;248.8;124.9;250;1;0
248;248.8;124.9;250;0;1
249;248.8;124.9;250;0;0
250;248.9;124.9;250;0;0
251;248.9;124.9;250;0;0
252;248.9;124.9;250;0;0
253;248.9;124.9;250;0;0
254;249;124.9;250;0;0
255;248.9;124.9;250;0;0
256;249;124.9;250;1;0
257;248.9;124.9;250;0;1
258;249;124.9;250;0;0
259;249.1;124.9;250;0;0
260;249.1;124.9;250;0;0
261;249.1;124.9;250;0;0
262;249.1;124.9;250;0;0
263;249.2;124.9;250;0;0
264;249.2;124.9;250;0;0
265;249.2;124.9;250;0;0
266;249.3;124.9;250;0;0
267;249.4;124.9;250;0;0
268;249.4;124.9;250;0;0
269;249.4;124.9;250;0;0
270;249.4;124.9;250;0;0
271;249.4;124.9;250;0;0
272;249.4;124.9;250;0;0
273;249.4;124.9;250;1;0
274;249.5;124.9;250;0;1
275;249.5;124.9;250;0;0
276;249.5;124.9;250;0;0
277;249.4;124.9;250;0;0
278;249.5;124.9;250;0;0
279;249.5;124.9;250;0;0
280;249.5;124.9;250;0;0
281;249.6;124.9;250;0;0
282;249.7;124.9;250;1;0
283;249.7;124.9;250;0;1
284;249.5;124.9;250;0;0
285;249.6;124.9;250;0;0
286;249.7;124.9;250;0;0
287;249.7;124.9;250;0;0
288;249.7;124.9;250;0;0
289;249.6;124.9;250;0;0
290;249.6;124.9;250;0;0
291;249.7;124.9;250;1;0
292;249.6;124.9;250;0;1
293;249.6;124.9;250;0;0
294;249.6;124.9;250;0;0
295;249.7;124.9;250;0;0
296;249.7;124.9;250;0;0
