Time (sec);Temperature 1 (C);Set point (C)
0;23.5;40
1;23.5;40
2;23.4;40
3;23.4;40
4;23.5;40
5;23.5;40
6;23.5;40
7;23.5;40
8;23.5;40
9;23.5;40
10;23.5;40
11;23.5;40
12;23.5;40
13;23.6;40
14;23.6;40
15;23.6;40
16;23.6;40
17;23.8;40
18;23.7;40
19;23.7;40
20;23.8;40
21;23.8;40
22;23.8;40
23;23.9;40
24;24;40
25;24;40
26;24;40
27;24.1;40
28;24.1;40
29;24.1;40
30;24.2;40
31;24.3;40
32;24.3;40
33;24.3;40
34;24.4;40
35;24.4;40
36;24.5;40
37;24.5;40
38;24.6;40
39;24.6;40
40;24.6;40
41;24.6;40
42;24.7;40
43;24.8;40
44;24.8;40
45;24.9;40
46;24.9;40
47;25;40
48;25;40
49;25.1;40
50;25.2;40
51;25.2;40
52;25.2;40
53;25.2;40
54;25.3;40
55;25.3;40
56;25.4;40
57;25.5;40
58;25.5;40
59;25.6;40
60;25.7;40
61;25.7;40
62;25.7;40
63;25.9;40
64;25.9;40
65;26;40
66;26;40
67;26;40
68;26.1;40
69;26.1;40
70;26.2;40
71;26.3;40
72;26.3;40
73;26.4;40
74;26.4;40
75;26.4;40
76;26.6;40
77;26.7;40
78;26.6;40
79;26.8;40
80;26.7;40
81;26.8;40
82;26.8;40
83;26.9;40
84;26.9;40
85;27.1;40
86;27.1;40
87;27.1;40
88;27.2;40
89;27.2;40
90;27.4;40
91;27.4;40
92;27.5;40
93;27.5;40
94;27.5;40
95;27.6;40
96;27.7;40
97;27.7;40
98;27.8;40
99;28;40
100;28;40
101;28.1;40
102;28.1;40
103;28.1;40
104;28.3;40
105;28.2;40
106;28.3;40
107;28.3;40
108;28.4;40
109;28.4;40
110;28.3;40
111;28.4;40
112;28.5;40
113;28.5;40
114;28.6;40
115;28.6;40
116;28.6;40
117;28.7;40
118;28.8;40
119;28.7;40
120;28.8;40
121;28.9;40
122;28.9;40
123;29;40
124;29;40
125;29;40
126;29.1;40
127;29.2;40
128;29.2;40
129;29.3;40
130;29.4;40
131;29.4;40
132;29.5;40
133;29.5;40
134;29.7;40
135;29.6;40
136;29.7;40
137;29.7;40
138;29.8;40
139;29.8;40
140;29.9;40
141;30;40
142;30;40
143;30.2;40
144;30.3;40
145;30.3;40
146;30.4;40
147;30.4;40
148;30.4;40
149;30.6;40
150;30.6;40
151;30.6;40
152;30.7;40
153;30.7;40
154;30.7;40
155;30.8;40
156;30.8;40
157;30.9;40
158;30.9;40
159;30.9;40
160;30.9;40
161;30.9;40
162;30.9;40
163;31;40
164;31.1;40
165;31.2;40
166;31.2;40
167;31.2;40
168;31.2;40
169;31.3;40
170;31.4;40
171;31.4;40
172;31.4;40
173;31.4;40
174;31.5;40
175;31.6;40
176;31.7;40
177;31.8;40
178;31.8;40
179;31.8;40
180;31.9;40
181;32;40
182;32;40
183;32;40
184;32;40
185;32.1;40
186;32.1;40
187;32.1;40
188;32.2;40
189;32.2;40
190;32.2;40
191;32.3;40
192;32.3;40
193;32.3;40
194;32.3;40
195;32.4;40
196;32.4;40
197;32.5;40
198;32.5;40
199;32.5;40
200;32.5;40
201;32.6;40
202;32.5;40
203;32.5;40
204;32.6;40
205;32.6;40
206;32.7;40
207;32.7;40
208;32.7;40
209;32.8;40
210;32.8;40
211;32.8;40
212;32.9;40
213;33;40
214;33;40
215;33.1;40
216;33.2;40
217;33.3;40
218;33.3;40
219;33.4;40
220;33.4;40
221;33.4;40
222;33.4;40
223;33.5;40
224;33.5;40
225;33.6;40
226;33.6;40
227;33.7;40
228;33.7;40
229;33.7;40
230;33.7;40
231;33.9;40
232;33.9;40
233;34;40
234;34;40
235;34.1;40
236;34.2;40
237;34.2;40
238;34.2;40
239;34.4;40
240;34.4;40
241;34.5;40
242;34.5;40
243;34.6;40
244;34.7;40
245;34.8;40
246;34.8;40
247;34.8;40
248;34.8;40
249;34.9;40
250;34.9;40
251;34.9;40
252;34.9;40
253;35.1;40
254;35.1;40
255;35.1;40
256;35.1;40
257;35.1;40
258;35.1;40
259;35.1;40
260;35.2;40
261;35.2;40
262;35.3;40
263;35.2;40
264;35.3;40
265;35.3;40
266;35.3;40
267;35.2;40
268;35.3;40
269;35.4;40
270;35.4;40
271;35.4;40
272;35.4;40
273;35.4;40
274;35.5;40
275;35.5;40
276;35.6;40
277;35.6;40
278;35.7;40
279;35.8;40
280;35.8;40
281;35.9;40
282;35.9;40
283;36;40
284;36;40
285;36;40
286;36;40
287;36.1;40
288;36.2;40
